ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
R-MMU-1442490,Collagen degradation,11/142,68/8657,1.08059910683919e-08,3.65876831960148e-07,3.23818720090416e-07,Ctsk/Col15a1/Col5a1/Col5a2/Col6a3/Col12a1/Col1a1/Col3a1/Col4a1/Col4a2/Mmp2,11
R-MMU-166663,Initial triggering of complement,7/142,19/8657,1.17756713286678e-08,3.65876831960148e-07,3.23818720090416e-07,C1qa/C1qb/C1qc/C1ra/C4b/Cfp/C3,7
R-MMU-3000178,ECM proteoglycans,9/142,40/8657,1.18318378494575e-08,3.65876831960148e-07,3.23818720090416e-07,Col5a1/Col5a2/Col6a3/Vcan/Col1a1/Col3a1/Sparc/Fn1/Tnc,9
R-MMU-8948216,Collagen chain trimerization,9/142,41/8657,1.49499887439797e-08,4.29278248219989e-07,3.79932044771815e-07,Col15a1/Col5a1/Col5a2/Col6a3/Col12a1/Col1a1/Col3a1/Col4a1/Col4a2,9
R-MMU-186797,Signaling by PDGF,10/142,56/8657,1.91917552053889e-08,5.14339039504423e-07,4.55214965573435e-07,Col5a1/Col5a2/Col6a3/Thbs2/Col3a1/Col4a1/Pdgfd/Pdgfra/Pdgfrb/Col4a2,10
R-MMU-2243919,Crosslinking of collagen fibrils,6/142,13/8657,2.73586958786081e-08,6.87387233950028e-07,6.08371000458522e-07,Col1a1/Col4a1/Bmp1/Col4a2/Lox/Loxl1,6
R-MMU-2129379,Molecules associated with elastic fibres,8/142,34/8657,5.44721536636207e-08,1.28810622192797e-06,1.14003640484853e-06,Fbn1/Fbln2/Fbln5/Fn1/Mfap2/Mfap4/Tgfb3/Bmp4,8
R-MMU-977606,Regulation of Complement cascade,8/142,42/8657,3.17010278658404e-07,7.07989622337103e-06,6.26605112201992e-06,C1qa/C1qb/C1qc/C1ra/C4b/Cfh/Cfp/C3,8
R-MMU-419037,NCAM1 interactions,6/142,19/8657,3.98815566736176e-07,8.22317498609572e-06,7.2779082097417e-06,Col5a1/Col5a2/Col6a3/Col3a1/Col4a1/Col4a2,6
R-MMU-8874081,MET activates PTK2 signaling,7/142,30/8657,4.09113183387847e-07,8.22317498609572e-06,7.2779082097417e-06,Col5a1/Col5a2/Lamb2/Col1a1/Col3a1/Lama4/Fn1,7
R-MMU-166658,Complement cascade,8/142,50/8657,1.29098392631401e-06,2.47131208751538e-05,2.18723091275255e-05,C1qa/C1qb/C1qc/C1ra/C4b/Cfh/Cfp/C3,8
R-MMU-8875878,MET promotes cell motility,7/142,41/8657,3.88586324568775e-06,7.1005319307567e-05,6.28431472269119e-05,Col5a1/Col5a2/Lamb2/Col1a1/Col3a1/Lama4/Fn1,7
R-MMU-202733,Cell surface interactions at the vascular wall,10/142,107/8657,9.29631940864304e-06,0.000162483495751065,0.000143805764765279,Col1a1/Sdc2/Esam/Fcer1g/Jam2/Jam3/Thbd/Pf4/Cav1/Fn1,10
R-MMU-375165,NCAM signaling for neurite out-growth,6/142,36/8657,2.27551410069277e-05,0.000381148611866038,0.0003373349851027,Col5a1/Col5a2/Col6a3/Col3a1/Col4a1/Col4a2,6
R-MMU-166786,Creation of C4 and C2 activators,4/142,14/8657,6.11311185198384e-05,0.000982988385799001,0.000869992339356015,C1qa/C1qb/C1qc/C1ra,4
R-MMU-3000157,Laminin interactions,5/142,28/8657,8.0242517961299e-05,0.00122538298718192,0.00108452330365931,Lamb2/Col4a1/Col4a2/Lama4/Nid1,5
R-MMU-2214320,Anchoring fibril formation,4/142,15/8657,8.23018424226665e-05,0.00122538298718192,0.00108452330365931,Col1a1/Col4a1/Bmp1/Col4a2,4
R-MMU-6806834,Signaling by MET,7/142,76/8657,0.000234301785800799,0.00336390421042576,0.00297721818047632,Col5a1/Col5a2/Lamb2/Col1a1/Col3a1/Lama4/Fn1,7
R-MMU-114608,Platelet degranulation ,9/142,132/8657,0.000306135722237267,0.00424367449446142,0.00375585749968044,Trf/Actn1/Srgn/Timp3/Sparc/Pf4/Fn1/Tgfb3/Igf1,9
R-MMU-1266738,Developmental Biology,18/142,444/8657,0.000328076084343596,0.00439621953020419,0.00389086724589949,Krt15/Krt18/Krt19/Krt4/Krt5/Krt7/Krt8/Sprr1a/Col5a1/Col5a2/Col6a3/Tyrobp/Col3a1/Col4a1/Sdc2/Fgfr1/Col4a2/Mmp2,18
R-MMU-9006934,Signaling by Receptor Tyrosine Kinases,18/142,447/8657,0.000355944927738629,0.0044889016685037,0.00397289542800276,Col5a1/Col5a2/Col6a3/Lamb2/Thbs2/Col1a1/Col3a1/Col4a1/Pdgfd/Hbegf/Hspb1/Pdgfra/Pdgfrb/Fgfr1/Col4a2/Lama4/Fn1/Igf1,18
R-MMU-6809371,Formation of the cornified envelope,8/142,107/8657,0.000357325505950544,0.0044889016685037,0.00397289542800276,Krt15/Krt18/Krt19/Krt4/Krt5/Krt7/Krt8/Sprr1a,8
R-MMU-76005,Response to elevated platelet cytosolic Ca2+,9/142,137/8657,0.00040338239846513,0.00491393103584794,0.00434906700737524,Trf/Actn1/Srgn/Timp3/Sparc/Pf4/Fn1/Tgfb3/Igf1,9
R-MMU-2022857,Keratan sulfate degradation,3/142,11/8657,0.000647392301754922,0.00765446192074937,0.00677456959731157,Lum/Ogn/Prelp,3
R-MMU-1971475,A tetrasaccharide linker sequence is required for GAG synthesis,4/142,26/8657,0.00078347605515934,0.0089987821192587,0.00796435809455208,Vcan/Gpc3/Gpc6/Sdc2,4
R-MMU-76002,Platelet activation, signaling and aggregation,12/142,260/8657,0.0011363853633091,0.0126896365569516,0.0112309430642829,Trf/Col1a1/Mgll/Actn1/Fcer1g/Srgn/Timp3/Sparc/Pf4/Fn1/Tgfb3/Igf1,12
R-MMU-975634,Retinoid metabolism and transport,5/142,49/8657,0.00118124542930207,0.0128340719616063,0.0113587753941423,Gpc3/Gpc6/Sdc2/Lpl/Rbp4,5
R-MMU-6806667,Metabolism of fat-soluble vitamins,5/142,52/8657,0.00154793410811284,0.0163755134595095,0.0144931226742975,Gpc3/Gpc6/Sdc2/Lpl/Rbp4,5
R-MMU-6805567,Keratinization,8/142,138/8657,0.00190160147945338,0.0196011229420579,0.0173479433213291,Krt15/Krt18/Krt19/Krt4/Krt5/Krt7/Krt8/Sprr1a,8
R-MMU-1630316,Glycosaminoglycan metabolism,7/142,114/8657,0.00263295292849769,0.0264611769314018,0.0234194234166374,Vcan/Gpc3/Gpc6/Sdc2/Lum/Ogn/Prelp,7
R-MMU-140877,Formation of Fibrin Clot (Clotting Cascade),4/142,39/8657,0.00365580501483917,0.0358447223406182,0.0317243156615055,F3/Serpine2/Thbd/Pf4,4
R-MMU-140875,Common Pathway of Fibrin Clot Formation,3/142,21/8657,0.00462794153969081,0.0432658720687373,0.0382923926662299,Serpine2/Thbd/Pf4,3
R-MMU-2024096,HS-GAG degradation,3/142,21/8657,0.00462794153969081,0.0432658720687373,0.0382923926662299,Gpc3/Gpc6/Sdc2,3
R-MMU-1679131,Trafficking and processing of endosomal TLR,3/142,22/8657,0.00529497900881339,0.0483768536714314,0.0428158589707877,Ctsk/Ctss/Lgmn,3
